date,n1,n2,n3,n4,n5,n6
08-08-1993,38,17,47,25,30,37
15-08-1993,6,7,30,17,2,42
22-08-1993,44,20,17,3,38,45
29-08-1993,42,30,36,5,4,6
05-09-1993,5,14,7,49,35,19
12-09-1993,42,28,41,15,22,38
19-09-1993,18,4,16,35,2,17
03-10-1993,44,48,34,37,4,41
17-10-1993,13,7,6,45,29,25
24-10-1993,8,22,43,14,34,15
31-10-1993,14,17,47,19,36,12
14-11-1993,48,20,6,43,4,35
28-11-1993,37,36,17,35,15,8
12-12-1993,12,33,41,7,34,43
19-12-1993,49,15,46,25,12,32
16-01-1994,7,20,27,46,2,33
23-01-1994,39,5,6,19,20,2
30-01-1994,14,47,40,26,24,36
06-02-1994,45,10,18,43,35,11
13-02-1994,38,29,49,47,8,3
20-02-1994,16,42,33,4,38,7
13-03-1994,22,39,35,29,44,46
20-03-1994,34,9,10,19,2,47
27-03-1994,11,8,25,13,3,38
02-04-1994,38,49,36,20,19,5
10-04-1994,49,42,11,45,9,23
17-04-1994,23,46,1,35,2,22
24-04-1994,10,41,29,25,18,8
01-05-1994,19,7,16,18,6,49
08-05-1994,15,44,32,21,49,10
15-05-1994,29,32,38,24,11,15
22-05-1994,10,18,23,40,35,33
29-05-1994,37,10,44,27,47,48
05-06-1994,34,7,49,14,47,44
12-06-1994,43,49,4,36,24,26
19-06-1994,46,27,6,31,2,11
26-06-1994,27,14,3,43,22,42
03-07-1994,47,38,36,19,5,35
10-07-1994,41,4,39,13,24,33
17-07-1994,18,29,17,48,47,34
24-07-1994,33,29,31,23,41,6
31-07-1994,29,17,11,14,28,39
07-08-1994,35,16,8,47,46,36
14-08-1994,36,21,5,47,40,33
21-08-1994,25,31,46,39,1,22
28-08-1994,20,45,32,23,18,19
04-09-1994,29,27,44,43,30,46
11-09-1994,28,26,48,37,44,1
18-09-1994,1,15,9,45,44,14
25-09-1994,41,7,48,3,11,16
02-10-1994,5,8,48,2,28,25
09-10-1994,49,39,9,42,37,13
16-10-1994,10,7,45,2,8,20
23-10-1994,48,38,15,45,12,42
30-10-1994,4,33,17,45,13,39
06-11-1994,16,11,12,14,15,38
13-11-1994,28,45,2,7,19,43
20-11-1994,25,23,41,40,27,34
27-11-1994,18,44,1,43,40,9
04-12-1994,3,31,1,28,15,12
11-12-1994,38,13,31,28,19,23
18-12-1994,49,31,10,43,37,12
02-01-1995,25,18,42,36,43,12
15-01-1995,20,44,18,48,19,28
22-01-1995,41,8,37,22,6,5
29-01-1995,41,36,18,23,27,10
05-02-1995,38,12,1,2,44,41
12-02-1995,1,31,16,4,33,18
19-02-1995,23,5,42,18,15,12
01-03-1995,12,49,23,18,5,28
05-03-1995,39,46,35,43,17,16
12-03-1995,36,37,24,48,10,5
19-03-1995,13,25,16,14,49,37
26-03-1995,4,35,39,22,11,46
02-04-1995,19,5,24,9,36,40
09-04-1995,3,22,13,5,35,6
16-04-1995,16,30,11,4,19,46
23-04-1995,34,28,48,32,4,20
30-04-1995,30,46,39,19,35,48
07-05-1995,36,4,12,20,7,39
14-05-1995,32,14,44,34,21,24
21-05-1995,29,43,24,8,17,18
28-05-1995,13,33,16,1,30,36
04-06-1995,42,35,5,26,37,25
11-06-1995,36,15,43,19,16,32
18-06-1995,38,34,9,24,25,36
25-06-1995,20,30,48,29,16,36
02-07-1995,43,47,34,4,8,48
09-07-1995,45,28,43,40,32,29
16-07-1995,31,26,16,10,23,43
23-07-1995,27,31,24,40,7,19
30-07-1995,32,25,21,6,27,14
06-08-1995,16,9,46,41,1,37
13-08-1995,24,33,25,44,42,28
20-08-1995,28,2,30,16,29,10
27-08-1995,45,40,16,6,32,38
03-09-1995,28,35,41,34,20,25
10-09-1995,10,17,28,32,27,35
17-09-1995,22,6,19,3,31,15
24-09-1995,31,7,9,40,26,14
01-10-1995,13,6,21,41,19,15
08-10-1995,45,28,2,34,26,7
15-10-1995,39,3,26,38,11,20
22-10-1995,28,2,43,47,12,19
29-10-1995,8,42,17,12,32,43
05-11-1995,10,12,36,42,18,1
12-11-1995,21,18,15,35,11,7
19-11-1995,21,1,9,16,37,42
26-11-1995,18,45,17,23,9,39
03-12-1995,39,46,40,41,9,23
10-12-1995,41,7,36,33,6,14
17-12-1995,5,14,10,9,3,15
02-01-1996,28,14,24,20,37,33
14-01-1996,4,32,2,20,7,35
21-01-1996,12,14,27,5,19,42
28-01-1996,7,38,43,18,5,12
04-02-1996,11,19,46,20,12,29
11-02-1996,30,16,5,22,15,21
18-02-1996,37,47,14,6,38,45
25-02-1996,19,10,45,17,47,23
03-03-1996,28,48,21,35,16,33
10-03-1996,45,18,12,25,9,22
17-03-1996,22,32,13,46,5,10
24-03-1996,40,34,7,46,41,27
31-03-1996,27,17,40,48,30,44
07-04-1996,25,38,3,9,46,47
14-04-1996,21,38,36,31,15,11
21-04-1996,5,25,42,46,26,15
28-04-1996,25,10,18,8,31,44
05-05-1996,4,14,13,32,35,19
12-05-1996,11,16,22,35,20,23
19-05-1996,14,38,34,49,37,42
26-05-1996,10,29,21,19,31,26
02-06-1996,44,23,49,43,15,16
09-06-1996,1,35,27,9,14,36
