1 2 3 4 5
1 2 6 7 8
1 2 9 10 11
1 2 12 13 14
1 2 3 15 16
1 3 6 9 12
1 3 7 10 13
1 3 8 11 14
1 4 6 10 14
1 4 7 9 15
1 4 8 12 16
1 4 5 11 13
1 5 6 7 16
1 5 8 10 15
1 5 9 14 16
1 5 7 11 12
1 6 11 13 15
1 7 12 14 15
1 8 9 13 16
1 10 11 12 16
2 3 4 6 11
2 3 7 9 14
2 3 8 10 12
2 3 4 8 13
2 4 7 10 16
2 4 5 9 12
2 4 5 14 15
2 5 6 10 13
2 5 7 8 11
2 5 6 12 16
2 6 8 9 15
2 6 8 14 16
2 7 12 13 15
2 9 11 13 16
2 10 11 14 15
2 3 11 12 13
3 4 6 7 12
3 4 9 10 15
3 4 13 14 16
3 5 6 14 15
3 5 7 8 9
3 5 10 11 16
3 5 10 12 14
3 5 9 13 15
3 6 8 10 16
3 4 6 9 13
3 7 11 15 16
3 8 11 12 15
3 4 8 9 11
3 7 9 12 16
4 5 6 8 16
4 5 7 8 14
4 5 10 12 13
4 6 9 15 16
4 7 11 13 14
4 8 9 10 14
4 8 13 14 15
4 6 7 10 11
4 6 11 12 14
4 9 11 12 15
4 6 8 11 16
5 6 9 11 14
5 7 8 10 13
5 7 8 12 15
5 9 10 13 14
5 11 13 15 16
6 7 9 10 12
6 7 13 14 16
6 7 10 12 15
6 8 9 12 13
7 8 10 14 16
7 8 9 11 13
8 10 11 13 15
8 12 14 15 16
9 10 12 13 16
1 9 12 14 15
10 11 14 15 16
