1 2 3 4 5 6
1 2 7 8 9 10
1 2 11 12 13 14
1 2 3 7 15 16
1 3 4 8 9 11
1 3 4 10 12 13
1 3 5 8 14 15
1 4 6 7 14 16
1 4 6 9 12 15
1 5 7 9 13 16
1 5 6 10 11 15
1 5 6 8 12 13
1 7 8 11 12 16
1 3 9 10 14 16
1 2 4 8 13 15
2 3 6 8 10 11
2 3 6 9 13 14
2 3 5 7 9 12
2 4 5 7 10 14
2 4 5 9 11 16
2 4 8 10 12 16
2 5 8 13 14 16
2 5 6 12 15 16
2 6 7 10 11 13
2 7 9 11 14 15
2 5 9 10 13 15
3 4 7 11 13 15
3 4 5 11 12 14
3 4 6 8 13 16
3 5 7 8 10 15
3 5 10 11 13 16
3 6 7 12 14 15
3 8 9 12 15 16
4 5 6 8 9 14
4 5 10 13 14 15
4 6 9 10 11 12
4 7 8 9 12 13
4 6 11 14 15 16
5 6 7 8 11 14
5 10 12 13 15 16
6 7 9 10 12 14
6 8 9 11 13 15
1 6 7 9 10 16
7 8 10 11 13 14
8 11 12 14 15 16
