1 2 3 4 5
1 2 6 7 8
1 2 9 10 11
1 3 6 9 12
1 3 7 10 13
1 4 6 11 13
1 4 8 10 12
1 5 7 11 12
1 5 8 9 13
2 3 8 11 12
2 4 7 9 12
2 5 6 10 12
2 3 6 9 13
2 4 8 10 13
2 5 7 11 13
3 4 5 6 7
3 4 8 9 11
5 6 8 10 11
6 7 8 12 13
9 10 11 12 13
3 4 5 12 13
3 5 7 9 10
4 6 7 9 10
2 4 6 11 12
2 5 8 9 12
3 4 7 10 11
1 3 6 8 10
1 4 7 9 13
3 7 8 9 11
1 5 6 10 13
4 5 6 8 9
1 2 3 12 13
3 5 6 11 13
4 5 7 8 11
3 5 7 8 10
4 5 9 10 11
2 6 7 10 11
5 6 7 9 11
1 7 8 10 12
1 8 9 11 13
3 4 6 10 12
1 2 3 5 11
2 3 4 8 13
2 3 9 10 13
8 9 10 12 13
2 5 7 10 12
1 2 4 5 9
1 3 5 11 12
3 4 7 12 13
1 2 4 6 7
2 6 8 9 13
5 6 8 11 12
4 5 6 12 13
1 2 3 4 8
1 2 3 6 7
1 4 5 9 10
3 6 10 11 12
4 8 10 11 13
1 2 3 5 8
1 2 4 9 11
4 5 7 9 13
1 2 7 8 9
