1 2 3 4 5 6
1 2 7 8 9 10
1 2 11 12 13 14
3 4 7 8 11 12
3 4 9 10 13 14
5 6 7 8 13 14
5 6 9 10 11 12
1 3 5 7 9 11
1 3 6 8 10 12
2 4 5 7 10 12
2 4 6 8 9 11
1 4 5 9 12 13
1 4 6 10 11 14
2 3 5 10 11 13
2 3 6 9 12 14
1 3 7 8 13 14
2 5 8 10 11 14
2 6 7 9 12 13
4 5 8 9 12 14
4 6 7 10 11 13
1 5 7 10 12 14
1 6 8 9 11 13
2 3 4 5 8 13
2 3 4 6 7 14
3 5 8 10 12 13
3 6 7 9 11 14
3 4 11 12 13 14
1 2 4 7 8 9
5 6 9 10 13 14
1 2 5 6 7 12
1 2 8 10 13 14
1 3 5 8 9 11
1 4 5 6 7 10
2 4 5 7 8 14
6 7 8 11 12 13
1 2 3 4 5 9
1 2 3 7 9 10
